DB_ID,TAZ,ModelTAZ,NAME,AreaType,EXT,centroidcount,District,District_Name
341,3708700005402       ,341,00005402    2       ,0,0,1,1,Waynesville         
342,3708700005403       ,342,00005403    3       ,0,0,1,1,Waynesville         
343,3708700005404       ,343,00005404    4       ,0,0,1,1,Waynesville         
344,3708700005405       ,344,00005405    5       ,0,0,1,1,Waynesville         
345,3708700005406       ,345,00005406    6       ,0,0,1,1,Waynesville         
346,3708700005407       ,346,00005407    7       ,0,0,1,18,Cecil               
347,3708700005408       ,347,00005408    8       ,0,0,1,18,Cecil               
348,3708700005409       ,348,00005409    9       ,0,0,1,1,Waynesville         
349,3708700005410       ,349,00005410    0       ,0,0,1,1,Waynesville         
350,3708700005411       ,350,00005411    1       ,0,0,1,1,Waynesville         
351,3708700005412       ,351,00005412    2       ,0,0,1,1,Waynesville         
352,3708700005413       ,352,00005413    3       ,0,0,1,1,Waynesville         
353,3708700005414       ,353,00005414    4       ,0,0,1,1,Waynesville         
354,3708700005415       ,354,00005415    5       ,0,0,1,1,Waynesville         
355,3708700005416       ,355,00005416    6       ,0,0,1,1,Waynesville         
356,3708700005417       ,356,00005417    7       ,0,0,1,1,Waynesville         
357,3708700005418       ,357,00005418    8       ,0,0,1,1,Waynesville         
358,3708700005419       ,358,00005419    9       ,0,0,1,1,Waynesville         
359,3708700005420       ,359,00005420    0       ,0,0,1,18,Cecil               
360,3708700005421       ,360,00005421    1       ,0,0,1,18,Cecil               
361,3708700005422       ,361,00005422    2       ,0,0,1,18,Cecil               
362,3708700005423       ,362,00005423    3       ,0,0,1,18,Cecil               
363,3708700005424       ,363,00005424    4       ,0,0,1,18,Cecil               
364,3708700005425       ,364,00005425    5       ,0,0,1,1,Waynesville         
365,3708700005426       ,365,00005426    6       ,0,0,1,1,Waynesville         
366,3708700005427       ,366,00005427    7       ,0,0,1,1,Waynesville         
367,3708700005428       ,367,00005428    8       ,0,0,1,1,Waynesville         
368,3708700005429       ,368,00005429    9       ,0,0,1,1,Waynesville         
369,3708700005430       ,369,00005430    0       ,0,0,1,1,Waynesville         
370,3708900003001       ,370,00003001    1       ,0,0,1,5,Dana                
371,3708900003002       ,371,00003002    2       ,0,0,1,5,Dana                
372,3708900003003       ,372,00003003    3       ,0,0,1,5,Dana                
373,3708900003004       ,373,00003004    4       ,0,0,1,5,Dana                
374,3708900003005       ,374,00003005    5       ,0,0,1,5,Dana                
375,3708900003006       ,375,00003006    6       ,0,0,1,5,Dana                
376,3708900003007       ,376,00003007    7       ,0,0,1,5,Dana                
377,3708900003008       ,377,00003008    8       ,0,0,1,5,Dana                
378,3708900003009       ,378,00003009    9       ,0,0,1,5,Dana                
379,3708900003010       ,379,00003010    0       ,0,0,1,5,Dana                
380,3708900003011       ,380,00003011    1       ,0,0,1,5,Dana                
381,3708900003012       ,381,00003012    2       ,0,0,1,5,Dana                
382,3708900003013       ,382,00003013    3       ,0,0,1,5,Dana                
383,3708900003014       ,383,00003014    4       ,0,0,1,5,Dana                
384,3708900003015       ,384,00003015    5       ,0,0,1,5,Dana                
385,3708900003016       ,385,00003016    6       ,0,0,1,5,Dana                
386,3708900003017       ,386,00003017    7       ,0,0,1,5,Dana                
387,3708900003018       ,387,00003018    8       ,0,0,1,9,Hendersonville      
388,3708900003019       ,388,00003019    9       ,0,0,1,9,Hendersonville      
389,3708900003020       ,389,00003020    0       ,0,0,1,9,Hendersonville      
390,3708900003021       ,390,00003021    1       ,0,0,1,9,Hendersonville      
391,3708900003022       ,391,00003022    2       ,0,0,1,9,Hendersonville      
392,3708900003023       ,392,00003023    3       ,0,0,1,9,Hendersonville      
393,3708900003024       ,393,00003024    4       ,0,0,1,15,Flat Rock           
394,3708900003025       ,394,00003025    5       ,0,0,1,15,Flat Rock           
395,3708900003026       ,395,00003026    6       ,0,0,1,15,Flat Rock           
396,3708900003027       ,396,00003027    7       ,0,0,1,15,Flat Rock           
397,3708900003028       ,397,00003028    8       ,0,0,1,15,Flat Rock           
398,3708900003029       ,398,00003029    9       ,0,0,1,15,Flat Rock           
399,3708900003030       ,399,00003030    0       ,0,0,1,15,Flat Rock           
400,3708900003031       ,400,00003031    1       ,0,0,1,15,Flat Rock           
401,3708900003032       ,401,00003032    2       ,0,0,1,15,Flat Rock           
402,3708900003033       ,402,00003033    3       ,0,0,1,15,Flat Rock           
403,3708900003034       ,403,00003034    4       ,0,0,1,15,Flat Rock           
404,3708900003035       ,404,00003035    5       ,0,0,1,15,Flat Rock           
405,3708900003036       ,405,00003036    6       ,0,0,1,15,Flat Rock           
406,3708900003037       ,406,00003037    7       ,0,0,1,15,Flat Rock           
407,3708900003038       ,407,00003038    8       ,0,0,1,15,Flat Rock           
408,3708900003039       ,408,00003039    9       ,0,0,1,15,Flat Rock           
409,3708900003040       ,409,00003040    0       ,0,0,1,9,Hendersonville      
410,3708900003041       ,410,00003041    1       ,0,0,1,9,Hendersonville      
411,3708900003042       ,411,00003042    2       ,0,0,1,9,Hendersonville      
412,3708900003043       ,412,00003043    3       ,0,0,1,9,Hendersonville      
413,3708900003044       ,413,00003044    4       ,0,0,1,9,Hendersonville      
414,3708900003045       ,414,00003045    5       ,0,0,1,5,Dana                
