ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
331 , M23L87MI , RTE 51: FLAGLER MAX: BEACH E/B  ,27,242,15,30,15,,1.2,SV   ,51   ,3624 ,27   
332 , M23L87MO , RTE 51: FLAGLER MAX: BEACH W/B  ,27,242,15,30,15,,1.2,SV   ,51   ,3624 ,27   
333 , M23L59MI , RTE 52: CR GOV CNTR -> GABLES N/,21,292,30,45,30,,1.2,SV,52,1920,23
334 , M23L59MO , RTE 52: GABLES ->  CR GOV CNTR S,21,292,30,45,30,,1.2,SV,52,1920,23
335 , M23L61MI , RTE 54: GARDENS -> BB & 54TH ST,21,292,50,60,50,,1.2,SV,54,4008,23
336 , M23L61MO , RTE 54: GARDENS -> BB & 54TH ST,21,292,50,60,50,,1.2,SV,54,4008,23
337 , M23L610MI , RTE 54: GARDENS -> BB & 54TH ST ,21,292,50,60,50,,1.2,SV   ,54   ,4008 ,23   
338 , M23L610MO , RTE 54: GARDENS -> BB & 54TH ST ,21,292,50,60,50,,1.2,SV   ,54   ,4008 ,23   
339 , M23L62MI , RTE 56: MDCC-S -> CRL GABLES EB ,21,292,60,60,60,,1.2,SV   ,56   ,767  ,23   
340 , M23L62MO , RTE 56: MDCC-S -> CRL GABLES WB ,21,292,60,60,60,,1.2,SV   ,56   ,767  ,23   
341 , M23L63MI , RTE 56: FERGUSON -> CRL GABLES E,21,292,60,60,60,,1.2,SV   ,56   ,767  ,23   
342 , M23L63MO , RTE 56: FERGUSON -> CRL GABLES W,21,292,60,60,60,,1.2,SV   ,56   ,767  ,23   
343 , M23L64MI , RTE 57: CORAL RF -> SM STA NB   ,21,292,40,60,40,,1.2,SV   ,57   ,335  ,23   
344 , M23L64MO , RTE 57: CORAL RF -> SM STA SB   ,21,292,40,60,40,,1.2,SV   ,57   ,335  ,23   
345 , M23L66MI , RTE 62: HIALEAH - BISCAYNE E/B  ,21,292,60,30,60,,1.2,SV   ,62   ,4917 ,23   
346 , M23L66MO , RTE 62: HIALEAH - BISCAYNE W/B  ,21,292,60,30,60,,1.2,SV   ,62   ,4917 ,23   
347 , M23L67MI , RTE 62: MLK STA -> BISCAYNE EB  ,21,292,30,30,30,,1.2,SV   ,62   ,4917 ,23   
348 , M23L67MO , RTE 62: MLK STA -> BISCAYNE WB  ,21,292,20,30,20,,1.2,SV   ,62   ,4917 ,23   
349 , M23L68MI , RTE 62: TRI PARK HLH -> BEACH E/,21,292,30,30,30,,1.2,SV,62,4917,23
350 , M23L68MO , RTE 62: TRI PARK HLH -> BEACH W/,21,292,30,30,30,,1.2,SV,62,4917,23
351 , M23L69MI , RTE 70: HMST STAD -> SAGA BAY NB,21,292,30,60,30,,1.2,SV,70,1600,23
352 , M23L69MO , RTE 70: HMST STAD -> SAGA BAY SB,21,292,30,60,30,,1.2,SV,70,1600,23
353 , M23L690MI , RTE 70: HMST STAD -> SDGC NB,21,292,30,60,30,,1.2,SV,70,1600,23
354 , M23L690MO , RTE 70: HMST STAD -> SDGC SB,21,292,30,60,30,,1.2,SV,70,1600,23
355 , M23L70MD , RTE 71: DN STA -> INTL MALL NB  ,21,292,30,60,30,,1.2,SV   ,71   ,1697 ,23   
356 , M23L71MD , RTE 72: 137 AVE -> SM STA EB    ,21,292,60,60,60,,1.2,SV   ,72   ,1188 ,23   
357 , M23L72MD , RTE 72A: 157TH AVE -> SM STA EB ,21,292,60,60,60,,1.2,SV   ,72   ,1188 ,23   
358 , M23L73MD , RTE 73: MIAMI LAKES -> DS STA-2W,21,292,30,40,30,,1.2,SV   ,73   ,2151 ,23   
359 , M23L75MI , TE 75: ML VOTCH -> MDCC-N S/B   ,21,292,30,30,30,,1.2,SV   ,75   ,3423 ,23   
360 , M23L75MO , TE 75:MDCC-N ->ML VOTCH  N/B    ,21,292,30,30,30,,1.2,SV   ,75   ,3423 ,23   
361 , M23L76MI , RTE 77: NW 183RD ST & 7TH AVE ->,21,292,30,30,30,,1.2,SV   ,77   ,10470,23   
362 , M23L76MO , RTE 77: NW 183RD ST & 7TH AVE ->,21,292,30,30,30,,,SV   ,77   ,10470,23   
363 , M23L77MI , RTE 77: 441 & 199TH ST -> CBD SB,21,292,20,30,20,,1.2,SV   ,77   ,10470,23   
